id,recommendation_id,doctor_rating,created_at
1,1,5,2026-06-21 06:02:44
2,2,2,2026-06-21 06:07:23
3,5,1,2026-06-21 06:10:57
4,6,3,2026-06-21 06:10:57
5,7,2,2026-06-21 06:10:57
6,8,4,2026-06-21 06:10:57
7,9,4,2026-06-21 06:10:57
8,10,1,2026-06-21 06:10:57
9,11,2,2026-06-21 06:10:57
10,14,4,2026-06-21 06:10:57
11,15,2,2026-06-21 06:10:57
12,16,2,2026-06-21 06:10:57
13,17,4,2026-06-21 06:10:57
14,19,3,2026-06-21 06:10:57
15,20,4,2026-06-21 06:10:57
16,21,3,2026-06-21 06:10:57
17,22,5,2026-06-21 06:10:57
18,25,4,2026-06-21 06:10:57
19,26,2,2026-06-21 06:10:57
20,27,1,2026-06-21 06:10:57
21,28,5,2026-06-21 06:10:57
22,29,3,2026-06-21 06:10:57
23,30,4,2026-06-21 06:10:57
24,31,2,2026-06-21 06:10:57
25,32,3,2026-06-21 06:10:57
26,33,5,2026-06-21 06:10:57
27,34,5,2026-06-21 06:10:57
28,36,5,2026-06-21 06:10:57
29,38,2,2026-06-21 06:10:57
30,39,5,2026-06-21 06:10:57
31,40,1,2026-06-21 06:10:58
32,41,3,2026-06-21 06:10:58
33,42,3,2026-06-21 06:10:58
34,43,5,2026-06-21 06:10:58
35,44,5,2026-06-21 06:10:58
36,45,5,2026-06-21 06:10:58
37,46,5,2026-06-21 06:10:58
38,47,4,2026-06-21 06:10:58
39,48,5,2026-06-21 06:10:58
40,49,3,2026-06-21 06:10:58
41,50,4,2026-06-21 06:10:58
42,51,4,2026-06-21 06:10:58
43,52,2,2026-06-21 06:10:58
44,53,3,2026-06-21 06:10:58
45,54,5,2026-06-21 06:10:58
46,55,1,2026-06-21 06:10:58
47,56,2,2026-06-21 06:10:58
48,57,4,2026-06-21 06:10:58
49,58,3,2026-06-21 06:10:58
50,59,4,2026-06-21 06:10:58
51,60,3,2026-06-21 06:10:58
52,62,3,2026-06-21 06:10:58
53,64,3,2026-06-21 06:10:58
54,66,5,2026-06-21 06:10:58
55,67,5,2026-06-21 06:10:58
56,68,1,2026-06-21 06:10:58
57,69,5,2026-06-21 06:10:58
58,70,4,2026-06-21 06:10:58
59,71,1,2026-06-21 06:10:58
60,72,5,2026-06-21 06:10:58
61,73,3,2026-06-21 06:10:58
62,75,5,2026-06-21 06:10:58
63,76,3,2026-06-21 06:10:58
64,77,5,2026-06-21 06:10:58
65,78,1,2026-06-21 06:10:58
66,79,5,2026-06-21 06:10:58
67,80,3,2026-06-21 06:10:59
68,81,5,2026-06-21 06:10:59
69,83,4,2026-06-21 06:10:59
70,84,2,2026-06-21 06:10:59
71,85,2,2026-06-21 06:10:59
72,86,1,2026-06-21 06:10:59
73,87,4,2026-06-21 06:10:59
74,88,1,2026-06-21 06:10:59
75,89,3,2026-06-21 06:10:59
76,90,5,2026-06-21 06:10:59
77,91,5,2026-06-21 06:10:59
78,92,4,2026-06-21 06:10:59
79,93,5,2026-06-21 06:10:59
80,94,5,2026-06-21 06:10:59
81,95,5,2026-06-21 06:10:59
82,96,3,2026-06-21 06:10:59
83,97,4,2026-06-21 06:10:59
84,98,4,2026-06-21 06:10:59
85,99,3,2026-06-21 06:10:59
86,100,5,2026-06-21 06:10:59
87,101,1,2026-06-21 06:10:59
88,102,4,2026-06-21 06:10:59
89,103,5,2026-06-21 06:10:59
90,104,3,2026-06-21 06:10:59
91,105,5,2026-06-21 06:10:59
92,106,1,2026-06-21 06:10:59
93,107,5,2026-06-21 06:10:59
94,108,4,2026-06-21 06:10:59
95,109,5,2026-06-21 06:10:59
96,111,5,2026-06-21 06:10:59
97,112,5,2026-06-21 06:10:59
98,113,4,2026-06-21 06:10:59
99,114,4,2026-06-21 06:10:59
100,115,4,2026-06-21 06:10:59
101,116,1,2026-06-21 06:10:59
102,118,5,2026-06-21 06:10:59
103,119,5,2026-06-21 06:10:59
104,120,5,2026-06-21 06:11:00
105,121,4,2026-06-21 06:11:00
106,122,3,2026-06-21 06:11:00
107,123,2,2026-06-21 06:11:00
108,124,5,2026-06-21 06:11:00
109,126,3,2026-06-21 06:11:00
110,127,4,2026-06-21 06:11:00
111,129,5,2026-06-21 06:11:00
112,130,5,2026-06-21 06:11:00
113,131,4,2026-06-21 06:11:00
114,132,5,2026-06-21 06:11:00
115,134,5,2026-06-21 06:11:00
116,135,4,2026-06-21 06:11:00
117,136,4,2026-06-21 06:11:00
118,137,5,2026-06-21 06:11:00
119,138,5,2026-06-21 06:11:00
120,139,5,2026-06-21 06:11:00
121,140,5,2026-06-21 06:11:00
122,141,4,2026-06-21 06:11:00
123,143,5,2026-06-21 06:11:00
124,144,4,2026-06-21 06:11:00
125,145,5,2026-06-21 06:11:00
126,146,5,2026-06-21 06:11:00
127,147,4,2026-06-21 06:11:00
128,149,5,2026-06-21 06:11:00
129,153,5,2026-06-21 06:11:00
