id,condition_category,treatment_name,alpha,beta
1,Respiratory,Inhaled Bronchodilator,22,4
2,Respiratory,Antibiotic Course,1,3
3,Respiratory,Rest + Hydration Protocol,1,4
4,Gastrointestinal,Dietary Modification,7,1
5,Gastrointestinal,Antacid/PPI Therapy,1,2
6,Gastrointestinal,Antibiotic Course,2,3
7,Cardiovascular,ACE Inhibitor,12,2
8,Cardiovascular,Lifestyle + Statin Therapy,1,4
9,Cardiovascular,Beta Blocker,1,2
10,Neurological,Neurology Referral + MRI,6,4
11,Neurological,Symptom Management Meds,1,3
12,Neurological,Physical Therapy,1,4
13,Musculoskeletal,NSAID + Rest,10,2
14,Musculoskeletal,Physical Therapy,1,3
15,Musculoskeletal,Corticosteroid Injection,2,3
16,Endocrine,Hormone Therapy,1,1
17,Endocrine,Dietary + Insulin Management,1,2
18,Endocrine,Endocrinology Referral,1,2
19,Infectious Disease,Antibiotic Course,10,2
20,Infectious Disease,Antiviral Therapy,2,2
21,Infectious Disease,Supportive Care + Isolation,1,3
22,Cancer,Oncology Referral,7,1
23,Cancer,Chemotherapy Protocol,1,2
24,Cancer,Surgical Consultation,1,1
25,Mental Health,Psychotherapy Referral,3,1
26,Mental Health,SSRI Medication,1,3
27,Mental Health,Combined Therapy + Medication,1,3
28,Renal/Urinary,Antibiotic Course,3,2
29,Renal/Urinary,Increased Hydration + Monitoring,1,2
30,Renal/Urinary,Nephrology Referral,1,3
31,Dermatological,Topical Steroid,7,1
32,Dermatological,Antihistamine,1,2
33,Dermatological,Dermatology Referral,1,1
34,Genetic/Congenital,Specialist Referral,1,1
35,Genetic/Congenital,Supportive Care Plan,2,3
36,Genetic/Congenital,Genetic Counseling,1,2
